,Title,Date,Venue,Link
151,GRAND WAZOO: BIG RETRO SOUL DANCE PARTY,2024-01-27,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/48cfe200-fa65-4184-aeb3-6f9e887897c3?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
152,ANBERLIN (USA),2024-01-28,Northcote Theatre,https://www.moshtix.com.au/v2/event/anberlin-usa/158362
153,Kia b2b Moopie b2b Dolly (Extended Sets),2024-01-28,Miscellania,https://events.humanitix.com/kia-b2b-moopie-b2b-dolly-extended-sets
154,LULUC 'Diamonds' ALBUM LAUNCH,2024-01-28,Howler,https://www.moshtix.com.au/v2/event/luluc-diamonds-album-launch/159525
155,Gregory Alan Isakov,2024-01-28,Forum Melbourne,/shows/show.aspx?sh=GREGALI24&v=FRM
156,The Breeders,2024-01-29,Forum Melbourne,/shows/show.aspx?sh=BREEDERS24&v=FRM
157,Texas,2024-01-31,Forum Melbourne,/shows/show.aspx?sh=TEXAS24&v=FRM
158,Faye Webster,2024-01-31,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/663a6ecf-d3ab-4ac0-87a9-cc5c1d0eebe8?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
159,Carda (Debut Show),2024-02-01,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/d4875eee-9494-44c8-860a-93e4ab8a6077?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
160,RAYE,2024-02-01,Forum Melbourne,/shows/show.aspx?sh=RAYE24&v=FRM
161,Milky Chance,2024-02-02,Forum Melbourne,/shows/show.aspx?sh=MILKCHAN24&v=FRM
162,Hemlocke Springs (USA),2024-02-02,The Night Cat,https://www.moshtix.com.au/v2/event/hemlocke-springs-usa/158868
163,Noiseworks,2024-02-03,Forum Melbourne,/shows/show.aspx?sh=NOISEWOR24&v=FRM
164,HYBRID MINDS,2024-02-03,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/0293f816-c40d-46b0-986d-9129b82a8eb7?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
165,Petey (USA),2024-02-03,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/7bb679d4-f05b-4922-a997-0f7d52f548d3?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
166,Jaal,2024-02-03,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/2b331527-962d-4aea-a80e-d9685d538118?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
167,Tijuana Cartel 'Alectura' album tour,2024-02-03,Howler,https://www.moshtix.com.au/v2/event/tijuana-cartel-alectura-album-tour/156742
168,Rise Against,2024-02-04,Forum Melbourne,/shows/show.aspx?sh=RISEAGAI24&v=FRM
169,WEDNESDAY 13 perform MURDERDOLLS,2024-02-04,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/bc460e8b-f555-4101-b2d2-ea8724e3f3e0?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
170,WEST COAST WEDNESDAYS,2024-02-07,The Toff in Town,https://www.moshtix.com.au/v2/event/west-coast-wednesdays/159966
171,BLIND GUARDIAN (GER) - 2ND SHOW,2024-02-08,Northcote Theatre,https://www.moshtix.com.au/v2/event/blind-guardian-ger-2nd-show/158509
172,Paris Texas (USA),2024-02-08,The Night Cat,https://www.moshtix.com.au/v2/event/paris-texas-usa/158806
173,d4vd - All Ages Show,2024-02-08,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/b97f5ea4-7337-4369-afaa-00484945dd68?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
174,AJ Tracey,2024-02-08,Forum Melbourne,/shows/show.aspx?sh=AJTRACEY24&v=FRM
175,Squid Nebula ('From Here To You' Album Launch),2024-02-09,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/1de7ec4b-7b34-41c8-8c1c-10ec37ff6495?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
176,THE VELVET CLUB,2024-02-09,Howler,https://www.moshtix.com.au/v2/event/the-velvet-club/159875
177,Unknown Mortal Orchestra,2024-02-09,Forum Melbourne,/shows/show.aspx?sh=UMORCH24&v=FRM
178,Russian Circles 'GNOSIS' Australian tour,2024-02-09,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/4d184d12-82f0-41c4-9e97-d5e874d933a4?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
179,Blondshell,2024-02-09,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/0319e5ba-8ee3-4f5c-bbfb-04d8f5321fc2?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
180,BLIND GUARDIAN (GER),2024-02-09,Northcote Theatre,https://www.moshtix.com.au/v2/event/blind-guardian-ger/155460
181,JACK DAVIES AND THE BUSH CHOOKS ALBUM TOUR,2024-02-10,Howler,https://www.moshtix.com.au/v2/event/jack-davies-and-the-bush-chooks-album-tour/159940
182,Katatonia,2024-02-10,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/7738aef5-6957-49cd-9a78-6ec80dae2254?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
183,Bob Marley Birthday Bash,2024-02-10,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/d95814c5-6528-444b-8f3d-e55ec53cf2a2?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
184,Willowbank Grove,2024-02-10,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/f9197cd1-a018-434b-baf1-e298c20fea81?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
185,Russian Circles 'GNOSIS' Australian tour,2024-02-10,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/3ca17b5f-b92e-43d8-af95-6f685416d756?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
186,Northlane,2024-02-11,Forum Melbourne,/shows/show.aspx?sh=NORTHLA24&v=FRM
187,"BIG CITY LIGHTS, 2024 ft. GUY J , NICOLAS RADA & more",2024-02-11,Northcote Theatre,https://www.moshtix.com.au/v2/event/big-city-lights-2024-ft-guy-j-nicolas-rada-more/159825
188,Charley Crockett,2024-02-12,Forum Melbourne,/shows/show.aspx?sh=CROCKETT24&v=FRM
189,In Flames & Kreator,2024-02-14,Forum Melbourne,/shows/show.aspx?sh=INFLAMES24&v=FRM
190,Pub Collage Club w/ That Paper joint at The Retreat Hotel Brunswick,2024-02-14,280 Sydney Rd,https://www.eventbrite.com.au/e/pub-collage-club-w-that-paper-joint-at-the-retreat-hotel-brunswick-tickets-768687363597?aff=ebdssbdestsearch
191,Private Function's Australia / New Zealand Tour,2024-02-15,The Night Cat,https://www.moshtix.com.au/v2/event/private-functions-australia-new-zealand-tour/160340
192,The Eras Afterparty Friday – Melbourne,2024-02-16,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/22516eba-0ea6-4942-b982-614cac62bb87?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
193,The Drums (USA) Australia 2024,2024-02-17,Northcote Theatre,https://www.moshtix.com.au/v2/event/the-drums-usa-australia-2024/158405
194,The Eras Afterparty Saturday – Melbourne,2024-02-17,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/51200e86-4bd8-4f82-9a0a-7d81b9462579?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
195,EMMURE Australian Tour 2024,2024-02-18,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/ded536d5-6d01-4dd4-bdb0-fcbfcc10cff8?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
196,The Butterfly Effect,2024-02-18,Forum Melbourne,/shows/show.aspx?sh=BUTTERFL24&v=FRM
197,Mogwai,2024-02-19,Forum Melbourne,/shows/show.aspx?sh=MOGWAI24&v=FRM
198,Greentea Peng,2024-02-20,Forum Melbourne,/shows/show.aspx?sh=GREENTEA24&v=FRM
199,Blanco White (UK),2024-02-20,The Night Cat,https://www.moshtix.com.au/v2/event/blanco-white-uk/157336
200,Cavetown,2024-02-21,Forum Melbourne,/shows/show.aspx?sh=CAVETOWN24&v=FRM
201,Atreyu,2024-02-21,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/2ad67efb-f146-4678-914f-7ce3d784fb06?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
202,FUN LOVIN' CRIMINALS (USA),2024-02-22,Northcote Theatre,https://www.moshtix.com.au/v2/event/fun-lovin-criminals-usa/158413
203,Haiku Hands 'Pleasure Beast' Tour,2024-02-22,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/a8ba2952-5677-420b-8b51-5b1cd40e5bbf?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
204,Kings of Convenience,2024-02-22,Forum Melbourne,/shows/show.aspx?sh=KINGSOFC24&v=FRM
205,JACK LADDER & THE DREAMLANDERS – “The Return Of The Dreamlanders”,2024-02-23,Howler,https://www.moshtix.com.au/v2/event/jack-ladder-the-dreamlanders-–-“the-return-of-the-dreamlanders”/157699
206,Crossfaith (JPN) Australian Tour 2024,2024-02-23,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/e02237cb-6111-4974-b2ac-67f1b3f9e6df?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
207,The Chats - Bargain Bin Tour 2024,2024-02-23,Northcote Theatre,https://www.moshtix.com.au/v2/event/the-chats-bargain-bin-tour-2024/159122
208,THE SMYTHS (UK) play THE SMITHS The Queen Is Dead,2024-02-23,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/30c48b0f-ba32-4966-b991-2bd9ab14d64a?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
209,The Dead South,2024-02-24,Forum Melbourne,/shows/show.aspx?sh=DEADSOUT24&v=FRM
210,"Harrison Storm - Wonder, Won’t You? Aus Tour",2024-02-24,Howler,https://www.moshtix.com.au/v2/event/harrison-storm-wonder-won’t-you-aus-tour/158392
211,D.R.I. - 40th Anniversary Tour,2024-02-24,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/105d095a-c3c4-4f8f-b652-776163b601d5?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
212,"CLOCKWORK ORANGE MELBOURNE ft PAUL OAKENFOLD, FAT TONY + MORE",2024-02-25,Northcote Theatre,https://www.moshtix.com.au/v2/event/clockwork-orange-melbourne-ft-paul-oakenfold-fat-tony-more/160172
213,RAW Comedy 2024 - Heat #7 - MATINEE,2024-02-25,Howler,https://www.moshtix.com.au/v2/event/raw-comedy-2024-heat-7-matinee/160496
214,Hot Mulligan 'Why Would I Watch' Aus Tour 2024,2024-02-28,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/3bfe1d33-b549-4928-9ffb-0f85d4e8efe9?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
215,MIDNIGHT (U.S.A),2024-03-01,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/e6a54b21-c2f7-48c6-b37a-fc2bfc5ab7c1?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
216,COG - The Vinyl Tour 2024,2024-03-01,Northcote Theatre,https://www.moshtix.com.au/v2/event/cog-the-vinyl-tour-2024/159753
217,The Midnight,2024-03-02,Forum Melbourne,/shows/show.aspx?sh=THEMIDNI24&v=FRM
218,SUPER CONCERT - SERGIO VARGAS (DOM) & OSVALDO ROMAN (USA),2024-03-02,Northcote Theatre,https://www.moshtix.com.au/v2/event/super-concert-sergio-vargas-dom-osvaldo-roman-usa/159290
219,Royale With Cheese - The Ultimate 90's Rock Show,2024-03-02,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/3b3d9bfd-f4de-463e-9ff2-9dd52f3f1182?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
220,Pop Will Eat Itself (PWEI),2024-03-02,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/28c76325-f3a6-40f0-89f5-85746f8f4b46?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
221,CYMANDE (UK),2024-03-05,Northcote Theatre,https://www.moshtix.com.au/v2/event/cymande-uk/158556
222,Thee Sacred Souls (USA),2024-03-05,The Night Cat,https://www.moshtix.com.au/v2/event/thee-sacred-souls-usa/160173
223,Yussef Dayes,2024-03-06,Forum Melbourne,/shows/show.aspx?sh=YUSSEFDA24&v=FRM
224,"Black Country, New Road",2024-03-08,Forum Melbourne,/shows/show.aspx?sh=BCNR24&v=FRM
225,WILSN,2024-03-08,The Night Cat,https://www.moshtix.com.au/v2/event/wilsn/159642
226,FROM THE JAM (UK) - The Final Tour: The Greatest Hits,2024-03-08,Northcote Theatre,https://www.moshtix.com.au/v2/event/from-the-jam-uk-the-final-tour-the-greatest-hits/158471
227,METAL FORCES ft. ROSS THE BOSS (USA) + ANVIL (CAN) + THE RODS (USA),2024-03-09,Northcote Theatre,https://www.moshtix.com.au/v2/event/metal-forces-ft-ross-the-boss-usa-anvil-can-the-rods-usa/157764
228,Teenage Fanclub,2024-03-09,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/0bd0b851-42c6-404a-8bc3-dbb66afe8fd9?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
229,Morcheeba,2024-03-09,Forum Melbourne,/shows/show.aspx?sh=MORCHEEB24&v=FRM
230,NIK KERSHAW (UK) & GO WEST (UK),2024-03-10,Northcote Theatre,https://www.moshtix.com.au/v2/event/nik-kershaw-uk-go-west-uk/159078
231,José González,2024-03-11,Forum Melbourne,/shows/show.aspx?sh=JOSEGON24&v=FRM
232,"BLACK COUNTRY, NEW ROAD (UK)",2024-03-11,Northcote Theatre,https://www.moshtix.com.au/v2/event/black-country-new-road-uk/158888
233,Charlotte Adigéry & Bolis Pupul (BEL),2024-03-13,The Night Cat,https://www.moshtix.com.au/v2/event/charlotte-adigery-bolis-pupul-bel/158730
234,Chris Young,2024-03-13,Forum Melbourne,/shows/show.aspx?sh=CHRISYOU24&v=FRM
235,Machine Head,2024-03-15,Forum Melbourne,/shows/show.aspx?sh=MACHINEH24&v=FRM
236,Wilco,2024-03-17,Forum Melbourne,/shows/show.aspx?sh=WILCO24&v=FRM
237,Psychedelic Porn Crumpets,2024-03-21,The Night Cat,https://www.moshtix.com.au/v2/event/psychedelic-porn-crumpets/159331
238,Snarky Puppy,2024-03-25,Forum Melbourne,/shows/show.aspx?sh=SNARKPUP24&v=FRM
239,Filter (USA),2024-04-05,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/546982f3-9aeb-4211-8922-41db6d15afa8?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
240,Orange Goblin,2024-04-13,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/729ab767-2ae8-4004-ade3-9a5efdb0a9ef?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
241,"Black Box, Technotronic & N-Trance",2024-04-24,Forum Melbourne,/shows/show.aspx?sh=BLACKBOX24&v=FRM
242,Holy Holy,2024-04-26,Forum Melbourne,/shows/show.aspx?sh=HOLYHOL24&v=FRM
243,The Dandy Warhols,2024-04-28,Forum Melbourne,/shows/show.aspx?sh=DANDYWAR24&v=FRM
244,TesseracT 'War of Being' Australian Tour,2024-05-04,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/ed558dac-34ce-45a5-99ff-033840dbdb82?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
245,"TesseracT - ""War of Being"" Australian Tour",2024-05-05,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/f1293820-9c51-4bf5-9c35-898d333d2465?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
246,Melissa Etheridge,2024-05-15,Forum Melbourne,/shows/show.aspx?sh=MELETH24&v=FRM
247,Lord Apex,2024-05-18,The Night Cat,https://www.moshtix.com.au/v2/event/lord-apex/159918
248,SPARTA (USA) perform 'Wiretap Scars’ in Full,2024-05-18,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/8d45ddfd-be56-4543-bc04-1629a66cb53c?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
249,The Hold Steady Boys and Girls Down Under Weekender,2024-05-24,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/aef11759-2db0-44b4-97c4-ba720dba9ca3?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
250,The Hold Steady Boys and Girls Down Under Weekender,2024-05-25,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/bb8f2fa7-5239-426e-8992-709d9aa9b0cf?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
251,Peter Hook & The Light,2024-05-26,Forum Melbourne,/shows/show.aspx?sh=PETEHOOK24&v=FRM
252,Unleash The Archers,2024-06-07,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/45211719-3989-4084-aad0-c1553989a113?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
253,The High Kings (Ireland),2024-06-28,Forum Melbourne,/shows/show.aspx?sh=HIGHKING24&v=FRM
254,Dayseeker,2024-07-13,Forum Melbourne,/shows/show.aspx?sh=DAYSEEK24&v=FRM
255,They Might Be Giants,2024-10-11,Forum Melbourne,/shows/show.aspx?sh=TMBG23&v=FRM
